City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,altai,46.3722,96.2583,269.4,64,4,2.42,MN,1682299211
323,jacmel,18.2342,-72.5347,300.06,76,1,3.87,HT,1682299211
324,murud,18.3258,72.965,298.4,74,74,2.07,IN,1682299211
325,vanimo,-2.6741,141.3028,302.48,68,100,2.2,PG,1682299212
326,santa luzia,-19.7697,-43.8514,292.75,75,0,4.12,BR,1682299212
327,tshikapa,-6.4167,20.8,294.11,98,100,0.46,CD,1682299212
328,bikenibeu village,1.3673,173.1241,302.13,79,75,5.14,KI,1682299212
329,remire-montjoly,4.9167,-52.2667,298.17,100,0,1.03,GF,1682299212
330,cova figueira,14.8905,-24.2934,293.93,74,2,7.41,CV,1682298973
331,gurupi,-11.7292,-49.0686,296.77,69,78,2.91,BR,1682299213
332,khandyga,62.6667,135.6,272.65,73,100,4.18,RU,1682299213
333,shahrud,36.4182,54.9763,289.34,52,100,2.15,IR,1682299214
334,ilulissat,69.2167,-51.1,273.16,100,100,1.54,GL,1682299214
335,nuuk,64.1835,-51.7216,275.49,87,100,3.6,GL,1682299214
336,nampa,43.5407,-116.5635,290.21,54,100,2.06,US,1682299216
337,qujing,25.4833,103.7833,294.69,35,17,4.2,CN,1682299216
338,raikot,30.65,75.6,295.79,29,95,1.26,IN,1682299216
339,richards bay,-28.783,32.0377,291.32,87,45,1.75,ZA,1682299217
340,san luis,-33.295,-66.3356,288.93,75,100,1.79,AR,1682299217
341,norfolk,42.1668,-71.2495,285.36,95,100,2.06,US,1682299217
342,medina,24.4686,39.6142,299.39,36,20,2.06,SA,1682299218
343,amahai,-3.3333,128.9167,303.21,66,4,0.82,ID,1682299218
344,la libertad,-2.2333,-80.9,298.48,84,100,4.26,EC,1682299218
345,eaglehawk,-36.7333,144.25,292.23,69,0,3.55,AU,1682299218
346,weert,51.2517,5.7069,283.1,85,100,6.17,NL,1682299218
347,korocha,50.8107,37.1953,280.55,88,12,2.13,RU,1682299219
348,fale old settlement,-9.3852,-171.2468,301.91,73,15,2.09,TK,1682299219
349,bardai,11.65,7.2333,297.57,67,100,3.9,NG,1682299219
350,murzuq,25.9155,13.9184,295.26,37,100,8.84,LY,1682299219
351,hadibu,12.65,54.0333,300.5,76,100,2.22,YE,1682299220
352,coquimbo,-29.9533,-71.3436,287.0,94,0,2.06,CL,1682299143
353,mhamid,29.82,-5.72,298.57,20,94,4.98,MA,1682299220
354,pisco,-13.7,-76.2167,295.18,83,0,3.6,PE,1682299007
355,udachny,66.4167,112.4,267.62,86,53,0.95,RU,1682299220
356,aba,5.1066,7.3667,297.83,85,84,1.44,NG,1682299221
357,svetlyy,54.675,20.1347,282.18,95,98,1.74,RU,1682299221
358,ovalle,-30.5983,-71.2003,290.33,75,4,1.32,CL,1682299221
359,beloyarskiy,63.7119,66.6722,268.42,76,7,5.19,RU,1682299221
360,takab,36.4009,47.1133,282.87,68,100,1.51,IR,1682299222
361,maloye ganyushkino,46.6,49.2667,288.54,56,100,4.54,KZ,1682299222
362,ribeira grande,38.5167,-28.7,290.8,96,100,8.49,PT,1682299222
